customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_cell,RFM_sum,segment,predicted_purchases_90d,prob_alive,exp_avg_value,clv_12m
12346,326,3,77352.96,2,3,5,235,10,At Risk,0.29247187576846956,0.8710105105063698,42353.45667320107,46035.29660652187
12347,2,8,4921.53,5,4,5,545,14,Champions,1.4600768193019489,0.9927617993516895,631.9673169311261,3423.540154363992
12348,75,5,1658.3999999999999,3,4,4,344,11,Loyal Customers,0.8113297035594131,0.9731926647852922,376.6340367869778,1133.6961256068798
12349,19,3,3678.69,5,3,5,535,13,Potential Loyalists,0.3544654066112913,0.9696332801401666,1431.6135549118642,1884.64384506097
12350,310,1,294.4,2,1,2,212,5,Hibernating,0.1567294497921289,1.0,0.0,0.0
12351,375,1,300.93,2,1,2,212,5,Hibernating,0.13366484280549756,1.0,0.0,0.0
12352,36,9,1729.54,4,5,4,454,13,Loyal Customers,1.6855264083793497,0.9876346657250678,203.10756815624703,1270.0572461005931
12353,204,2,406.76,2,2,2,222,6,Hibernating,0.2627910523716591,0.8344290297756226,112.24343105533377,109.03739471819495
12354,232,1,1079.4,2,1,3,213,6,Hibernating,0.1976816266039703,1.0,0.0,0.0
12355,214,2,947.61,2,2,3,223,7,Hibernating,0.2042841464317339,0.8665765886844717,560.7697062011135,424.6904592872822
12356,23,6,5611.73,4,4,5,445,13,Loyal Customers,1.0283544925327395,0.9870202462700246,998.1695874448619,3808.457735076986
12357,33,2,17437.66,4,2,5,425,11,Potential Loyalists,0.302310430054458,0.9193427126425331,7521.488204128304,8401.540096946126
12358,2,5,3447.07,5,4,5,545,14,Champions,0.5199019409080717,0.9871604413618139,528.2356974416488,1022.3954932915632
12359,58,10,8873.39,4,5,5,455,14,Loyal Customers,1.0764077654166135,0.9890286893000656,919.6195269939924,3687.5324583019237
12360,52,6,3612.89,4,4,5,445,13,Loyal Customers,0.6966051795612531,0.9847450024747392,724.9722450163828,1879.2618469098725
12361,287,4,451.25,2,3,2,232,7,At Risk,0.3983138213492017,0.9039468436363062,127.65956001942759,189.15456790531127
12362,3,10,4737.23,5,5,5,555,15,Champions,2.4036953464394895,0.994160326423159,487.98009922115597,4342.584163125588
12363,110,2,552.0,3,2,2,322,7,About to Sleep,0.4178011154115249,0.8611525002559139,310.71388595920337,477.4675376793237
12364,8,4,1208.1,5,3,4,534,12,Potential Loyalists,1.825814232908019,0.9796303670097886,223.96096019992626,1498.9157935071053
12365,291,1,320.69,2,1,2,212,5,Hibernating,0.16505672975358093,1.0,0.0,0.0
12366,634,1,500.24,1,1,2,112,4,Hibernating,0.0843931338232024,1.0,0.0,0.0
12367,4,1,150.9,5,1,1,511,7,New Customers,,1.0,0.0,0.0
12368,628,1,917.6999999999999,1,1,3,113,5,Hibernating,0.08500022756169692,1.0,0.0,0.0
12369,413,3,1511.15,1,3,4,134,8,At Risk,0.25948543115764056,0.7662609584583079,660.8128281293531,637.2082233918871
12370,51,7,3956.56,4,4,5,445,13,Loyal Customers,0.6844114703605276,0.9849864226004543,737.1380641714011,1877.5747978633385
12371,60,4,3347.38,3,3,5,335,11,Need Attention,0.3248289452851931,0.964655562301381,1568.2812438527312,1893.160081045924
12372,72,3,1196.04,3,3,3,333,9,Need Attention,0.6295123768171238,0.9503274431604207,458.15819107164356,1065.1486942117679
12373,311,3,927.6500000000001,2,3,3,233,8,At Risk,0.2878914374918041,0.888680026805889,314.07463827368775,336.1219091794705
12374,25,3,2669.22,4,3,4,434,11,Potential Loyalists,0.3546837135404501,0.968746754880648,703.4513068054501,926.6155595688886
12375,11,2,377.5,5,2,2,522,9,Potential Loyalists,0.8418882020057725,0.9207685857045534,231.15617462800003,709.6559659047867
12376,390,2,383.15,2,2,2,222,6,Hibernating,0.13871022601924712,0.4488171305628907,41.525465427597446,21.296773164550633
12377,315,4,3266.32,2,3,5,235,10,At Risk,0.41920531847500364,0.8328777993268655,728.6577261185076,1135.1915496839554
12378,130,2,5416.32,3,2,5,325,10,About to Sleep,0.21339813482295253,0.8980802509152845,4858.60563026403,3843.472713558594
12379,82,4,1470.22,3,3,4,334,10,Need Attention,0.5332779599647456,0.9703776662460993,407.4690411818076,806.9941626025078
12380,22,8,7210.65,4,4,5,445,13,Loyal Customers,0.8162352371459839,0.9899882865908547,979.3808727391526,2975.386705481839
